candidate_id,path,classification,reason,owner_guess,current_registry_status,review_decision,can_be_ignored_in_future_scan
candidate-tools-verify-and-close-v2,tools/verify-and-close-v2,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-context-shadow,tools/probe-context-shadow,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-execution-policy-common.sh,tools/execution-policy-common.sh,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-resume_readiness_calibration.py,tools/resume_readiness_calibration.py,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-safe-message,tools/safe-message,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-capture-evidence-hot-zone,tools/capture-evidence-hot-zone,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-soak-verdict-check,tools/soak-verdict-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-subagent-srap-check,tools/subagent-srap-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-receipt-pipeline,tools/probe-receipt-pipeline,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-token-counter-cjk,tools/probe-token-counter-cjk,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-self-improving-adapter,tools/self-improving-adapter,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-generate-proposal,tools/agent-generate-proposal,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-gate-a-signer,tools/gate-a-signer,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-serial-guide,tools/serial-guide,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-recovery-summary,tools/agent-recovery-summary,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-probe-subagent-inbox-metrics,tools/probe-subagent-inbox-metrics,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-agent-health-summary,tools/agent-health-summary,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-callback-delivery,tools/probe-callback-delivery,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-testbot-decision-tracker,tools/testbot-decision-tracker,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-execution-degradation-monitor,tools/execution-degradation-monitor,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-execution-metrics,tools/execution-metrics,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-longrunkit-state-machine,tools/probe-longrunkit-state-machine,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-memory-search,tools/memory-search,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-capture-wake-session-diff,tools/capture-wake-session-diff,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-web-search,tools/web-search,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-project-check-advance,tools/project-check-advance,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-subagent-callback-hook,tools/subagent-callback-hook,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-auto-receipt,tools/auto-receipt,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-s1-validator,tools/s1-validator,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-check-pending-spawns,tools/check-pending-spawns,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-verify-callback-guards,tools/verify-callback-guards,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-s1-sampler-v2,tools/s1-sampler-v2,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-policy-violation-summary,tools/policy-violation-summary,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-antfarm-run.sh,tools/antfarm-run.sh,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-session-bootstrap-retrieve,tools/session-bootstrap-retrieve,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-memory-review,tools/memory-review,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-policy-effectiveness-metrics,tools/policy-effectiveness-metrics,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-context-budget-watcher,tools/context-budget-watcher,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-subagent-completion-handler,tools/subagent-completion-handler,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-safe-write,tools/safe-write,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-handle-subagent-complete,tools/handle-subagent-complete,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-session-indexer,tools/session-indexer,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-web-search.sh,tools/web-search.sh,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-handoff-integrity,tools/probe-handoff-integrity,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-memory-sweeper,tools/memory-sweeper,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-callback-worker-doctor,tools/probe-callback-worker-doctor,P0,自动分类为 P0,unknown,unregistered,pending,False
candidate-tools-context-shadow-report,tools/context-shadow-report,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-s1-dashboard,tools/s1-dashboard,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-task-completion-protocol,tools/probe-task-completion-protocol,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-completion-bypass-audit,tools/completion-bypass-audit,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-route-rebind-guard,tools/route-rebind-guard,P3,自动分类为 P3,unknown,unregistered,pending,True
